n,r
2,59
3,63
4,66
5,70
6,74
7,78
8,83
9,85
10,89
11,94
12,97
13,100
14,104
15,110
16,112
17,117
18,120
19,125
20,128
21,132
22,135
23,139
24,144
25,148
26,151
27,155
28,159
29,163
30,167
31,171
32,175
33,179
34,182
35,186
36,189
37,194
38,197
39,203
40,206
41,209
42,215
43,232
44,229
45,232
46,236
47,236
48,246
49,250
50,251
51,255
52,255
53,279
54,272
55,276
56,279
57,291
58,283
59,285
60,291
61,287
62,300
63,301
64,299
65,305
66,307
67,311
68,316
69,316
70,317
71,327
72,328
73,326
74,335
75,344
76,359
77,373
78,384
79,383
80,383
81,381
82,378
83,389
84,400
85,547
86,409
87,407
88,417
89,415
90,419
91,424
92,421
93,424
94,429
95,460
96,461
97,462
98,461
99,468
100,470
101,481
102,479
103,482
104,490
105,497
106,505
107,521
108,515
109,518
110,520
111,525
112,596
113,491
114,495
115,498
116,497
117,508
118,513
119,511
120,522
121,520
122,521
123,529
124,534
125,545
126,545
127,546
128,553
129,552
130,561
131,564
132,564
133,566
134,579
135,608
136,581
137,585
138,596
139,589
140,600
141,600
142,603
143,602
144,615
145,615
146,621
147,628
148,633
149,629
150,624
151,639
152,640
153,646
154,654
155,655
156,653
157,663
158,665
159,674
160,688
161,678
162,673
163,689
164,692
165,693
166,691
167,698
168,707
169,712
170,711
171,712
172,727
173,722
174,730
175,731
176,731
177,742
178,736
179,736
180,743
181,753
182,756
183,765
184,761
185,780
186,772
187,785
188,781
189,780
190,786
191,906
192,803
193,799
194,807
195,809
196,811
197,814
198,822
199,824
200,823
201,829
202,832
203,843
204,834
205,851
206,845
207,855
208,857
209,864
210,858
211,872
212,873
213,872
214,876
215,880
216,883
217,889
218,906
219,896
220,904
221,905
222,927
223,911
224,925
225,911
226,932
227,928
228,924
229,924
230,937
231,933
232,944
233,958
234,954
235,997
236,966
237,956
238,971
239,970
240,981
241,981
242,989
243,1001
244,998
245,995
246,1004
247,1035
248,1028
249,1038
250,1031
251,1038
252,1037
253,1031
254,1044
255,1039
256,1048
257,1052
258,1054
259,1077
260,1067
261,1093
262,1072
263,1100
264,1074
265,1077
266,1093
267,1098
268,1079
269,1100
270,1110
271,1118
272,1104
273,1156
274,1115
275,1115
276,1132
277,1128
278,1140
279,1138
280,1136
281,1151
282,1147
283,1166
284,1149
285,1177
286,1162
287,1170
288,1165
289,1183
290,1169
291,1166
292,1179
293,1191
294,1213
295,1208
296,1222
297,1218
298,1239
299,1222
300,1236
301,1238
302,1259
303,1244
304,1245
305,1258
306,1291
307,1298
308,1271
309,1254
310,1272
311,1258
312,1247
313,1262
314,1275
315,1312
316,1305
317,1309
318,1306
319,1310
320,1312
321,1324
322,1332
323,1335
324,1322
325,1327
326,1313
327,1315
328,1327
329,1332
330,1346
331,1330
332,1350
333,1346
334,1348
335,1350
336,1385
337,1370
338,1363
339,1377
340,1380
341,1385
342,1397
343,1399
344,1403
345,1393
346,1401
347,1406
348,1417
349,1410
350,1448
351,1404
352,1425
353,1413
354,1434
355,1441
356,1438
357,1463
358,1444
359,1456
360,1470
361,1467
362,1449
363,1531
364,1483
365,1477
366,1471
367,1499
368,1506
369,1499
370,1511
371,1503
372,1490
373,1513
374,1531
375,1533
376,1534
377,1538
378,1536
379,1532
380,1542
381,1588
382,1544
383,1561
384,1546
385,1596
386,1596
387,1572
388,1570
389,1599
390,1592
391,1587
392,1604
393,1605
394,1623
395,1582
396,1612
397,1631
398,1611
399,1623
400,1622
401,1607
402,1645
403,1642
404,1640
405,1644
406,1645
407,1622
408,1625
409,1652
410,1656
411,1674
412,1670
413,1710
414,1703
415,1718
416,1716
417,1695
418,1679
419,1718
420,1703
421,1710
422,1731
423,1757
424,1745
425,1756
426,1734
427,1735
428,1771
429,1754
430,1790
431,1758
432,1750
433,1789
434,1776
435,1774
436,1831
437,1789
438,1788
439,1762
440,1748
441,1780
442,1814
443,1803
444,1810
445,1836
446,1824
447,1845
448,1831
449,1808
450,1818
451,1815
452,1815
453,1840
454,1823
455,1855
456,1860
457,1858
458,1860
459,1885
460,1856
461,1879
462,1870
463,1863
464,1887
465,1857
466,1901
467,2166
468,1903
469,1904
470,1890
471,1980
472,1897
473,1921
474,1915
475,1959
476,1984
477,1954
478,1987
479,1919
480,1937
481,1929
482,1942
483,1945
484,1954
485,1934
486,1948
487,1955
488,1952
489,1962
490,1962
491,1993
492,2003
493,1968
494,1984
495,1982
496,1986
497,1987
498,2008
499,2004
500,2005
501,2010
